Raw data											
4/15											
system	schedule	pp	ep	zero_stage	iter_time_mean	iter_time_stddev	peak_memory_gb_by_rank				
4	2	3.857	4.725	3.285	oom	22					
4	4	6.079	6.572	4.248	oom	8					
8	1	1.749			1.965	12					
8	2	4.388	5.701	3.909	3.959	30					
8	4	6.804	7.772	4.928	5.058	14					
											
4	2	4.22557	3.5382	16							
											
ZeRO memory savings											
system	pp	ep	zero	grad acc	ar-a2a same stream	overlap-zero	iter time	rank 0 mem			
piper	8	2	0	off	off	off	3.959	10.447			
piper	8	2	2	off	off	off	3.909	5.551			
piper	8	2	3	off	off	off	5.701	6.733			
piper	8	4	0	off	off	off	5.058	10.447			
piper	8	4	2	off	off	off	4.928	5.073			
piper	8	4	3	off	off	off	7.772	6.097			
											
											
Baseline schedules											
system	schedule	pp	ep	zero_stage	gradient_accumulation	ar_a2a_same_stream	overlap_zero_ops	iter_time_mean	iter_time_stddev	peak_memory_gb_by_rank	
piper	1f1b	8	2	2	0	1	0	3.136			
piper	dualpipev	8	2	2	0	1	0	2.295			
piper	interleaved-1f1b	8	2	2	0	1	0	2.197			
piper	1f1b	8	2	3	0	1	0	4.297			
piper	dualpipev	8	2	3	0	1	0	4.800			
piper	interleaved-1f1b	8	2	3	0	1	0	3.589			
